Country,Capital,Altitude (m),Altitude (ft)
Bolivia,La Paz,3640,11942
Ecuador,Quito,2850,9350
Bhutan,Thimphu,2648,8688
Colombia,Bogotá,2625,8612
Ethiopia,Addis Ababa,2355,7726
Eritrea,Asmara,2325,7628
Yemen,Sana'a,2250,7382
Mexico,Mexico City,2240,7350
Iran,Tehran,1830,2952
Kenya,Nairobi,1795,5889
Afghanistan,Kabul,1790,5873
Namibia,Windhoek,1721,5646
Lesotho,Maseru,1673,5489
Rwanda,Kigali,1567,5141
Guatemala,Guatemala City,1529,5016
Zimbabwe,Harare,1483,4865
Nepal,Kathmandu,1400,4593
Mongolia,Ulan Bator,1350,4429
Madagascar,Antananarivo,1288,4226
South Africa,Pretoria,1271,4170
Zambia,Lusaka,1270,4167
Swaziland,Mbabane,1243,4078
Uganda,Kampala,1190,3904
Costa Rica,San José,1146,3760
Tanzania,Dodoma,1120,3675
Brazil,Brasilia,1079,3540
Malawi,Lilongwe,1024,3360
Andorra,Andorra la Vella,1023,3356
Honduras,Tegucigalpa,990,3250
Armenia,Yerevan,989,3246
Botswana,Gaborone,983,3225
Turkey,Ankara,938,3077
Venezuela,Caracas,909,2982
Burundi,Bujumbura,794,2605
Tajikistan,Dushanbe,789,2589
Palestine,East Jerusalem,779,2557
Nigeria,Abuja,777,2549
Kyrgyzstan,Bishkek,771,2530
Jordan,Amman,759,2490
Israel,Jerusalem,754,2474
Cameroon,Yaoundé,726,2382
Syria,Damascus,691,2267
Spain,Madrid,667,2188
El Salvador,San Salvador,658,2159
Saudi Arabia,Riyadh,624,2047
Australia,Canberra,605,1985
Bulgaria,Sofia,580,1900
South Sudan,Juba,550,1800
Switzerland,Bern,542,1778
Chile,Santiago,521,1709
Bosnia and Herzegovina,Sarajevo,518,1699
Pakistan,Islamabad,507,1663
Uzbekistan,Tashkent,459,1506
Liechtenstein,Vaduz,455,1493
Georgia,T'bilisi,451,1480
Sudan,Khartoum,377,1237
Central African Republic,Bangui,369,1211
Mali,Bamako,349,1145
Kazakhstan,Astana,338,1109
San Marino,City of San Marino,328,1076
Burkina Faso,Ouagadougou,305,1001
Chad,N'djamena,298,978
Slovenia,Ljubljana,281,922
Luxembourg,Luxembourg,273,896
Czech Republic,Prague,244,801
Macedonia,Skopje,243,797
Democratic Republic of the Congo,Kinshasa,240,787
Côte d'Ivoire,Yamoussoukro,217,712
Turkmenistan,Asgabat,215,705
India,New Delhi,210,689
Niger,Niamey,207,679
Micronesia Federated States of,Palikir,207,678
St. Lucia,Castries,204,669
Belarus,Minsk,198,650
Austria,Vienna,170,558
Cyprus,Nicosia,170,557
Ukraine,Kiev,168,551
